SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532737,EMKAY GLOB F,T ,Q,148.5,148.5,143.05,144.15,144.1,148.15,36,2546,369863,
532738,TCLCONS     ,T ,Q,33.02,33.02,32,32.3,32.3,32.38,38,32906,1059316,
532740,LOKESH MACH ,B ,Q,381.9,385,375.35,377.8,375.35,383.05,624,10559,4013296,
532741,KAMDHENU    ,B ,Q,458.05,492.4,443.7,469.95,465.9,449.05,3597,102049,47963271,
532742,PAUSHAKLTD  ,B ,Q,5745.95,5745.95,5686,5701.95,5701.95,5696.9,793,3955,22566209,
532744,GTN TEXTILE ,X ,Q,13.98,13.99,12.8,13.26,13.26,13.23,75,9608,126855,
532745,INDICAP     ,X ,Q,31.53,32.28,30.33,31.1,31.1,31.75,101,20255,628488,
532748,PRIME FOCUS ,B ,Q,118.4,120.4,116.3,117.15,116.75,118.55,449,17224,2028683,
532749,ALLCARGO    ,A ,Q,82,83.9,81.75,82.15,82.15,81.5,4232,480243,39649647,
532754,GMRINFRA    ,A ,Q,85.97,85.97,83.85,84.03,84.03,85.22,4840,5632886,473953858,
532755,TECH MAH    ,A ,Q,1266.15,1312,1266.15,1307.55,1307.55,1248.5,13590,227072,295173436,
532756,CIEINDIA    ,A ,Q,490,495.8,485.4,492.05,492.05,490.85,2439,63816,31424765,
532757,VOLTAMP TRAN,A ,Q,6746,6886.8,6695.05,6720.65,6695.05,6694.65,456,865,5871249,
532759,ATLANTAA    ,T ,Q,22.2,23.8,22.2,23.68,23.68,23.1,100,28376,662911,
532760,DEEPENR     ,B ,Q,204.95,207.65,199.35,204.05,204.1,201.05,266,5565,1127520,
532761,HOV SERVICES,T ,Q,76.2,77.75,76.2,77.65,77.65,77.75,21,3495,269338,
532762,ACTION CONST,A ,Q,907,909,896.9,899.15,899.15,900.6,524,8157,7357335,
532764,GEECEE      ,B ,Q,247.05,249,243.75,244.15,246,243.15,384,4869,1195582,
532766,RICHA IND   ,Z ,Q,2.1,2.17,2.1,2.17,2.17,2.07,71,65562,141972,
532768,FIEM INDS   ,B ,Q,2382.95,2510,2351,2487.75,2487.75,2367.1,2369,16027,38857863,
532771,JHS SVEN    ,B ,Q,28.76,29.78,28,28.92,28.92,28.55,836,133911,3876307,
532772,DCBBANK     ,A ,Q,158.45,158.45,155.6,156.3,156.3,156.25,1583,138337,21708295,
532773,GLOBAL VECT ,T ,Q,133.45,135.6,131.1,132,132,136.2,46,2977,398173,
532774,INSPIRISYS  ,T ,Q,101.92,107.5,101.92,106.25,106,104,34,6666,704746,
532775,GTL INFRAST ,B ,Q,1.89,1.95,1.87,1.95,1.95,1.86,19760,103257103,198681395,
532776,SHIVAM AUTO ,T ,Q,42.9,43.53,40,41.23,40.65,41.46,242,91828,3868338,
532777,INFO EDGE   ,A ,Q,5185.15,5386.85,5185.15,5307.25,5298.95,5172.6,5114,25614,136213004,
532779,TORNT POWER ,A ,Q,1019.85,1023.55,1005,1013.75,1005,1019.05,792,11443,11636330,
532780,PARSVNATH   ,T ,Q,11.65,11.85,11.65,11.85,11.85,11.62,102,131233,1552679,
532782,SUTLEJ TEXT ,B ,Q,65,65.3,64.6,64.94,64.61,65.24,113,15284,994643,
532783,LTFOODS     ,A ,Q,211.15,211.2,207.15,208.95,208.95,208.75,1251,52809,11077552,
532784,SOBHA       ,A ,Q,1349.85,1374.6,1330.1,1347.25,1347.25,1329.3,2789,30921,41738243,
532785,RUCHIRA PAP ,B ,Q,133.45,135,132.4,133.7,133.6,132.4,709,27993,3752878,
532790,TANLA       ,A ,Q,1189.3,1248.4,1179.8,1187.25,1187.25,1187.2,5018,114145,139170568,
532794,ZEEMEDIA    ,B ,Q,17.06,17.36,16.75,16.88,16.88,16.94,2548,2680287,45609614,
532795,SITINET     ,T ,Q,0.87,0.87,0.87,0.87,0.87,0.86,24,48236,41965,
532796,LUMAX TECH  ,A ,Q,404.9,404.9,393.35,396.95,396.2,400.25,311,3230,1286121,
532797,AUTOIND     ,B ,Q,144.15,144.15,132.15,133.8,133.25,138,406,17533,2361635,
532798,NTWK MED INV,A ,Q,130.95,131.33,123.6,124.24,124.24,130.81,4276,357586,45031945,
532799,HUBTOWN     ,B ,Q,83.7,85.15,80.96,81.75,81.51,83.55,1344,67768,5688983,
532800,TV18BRDCST  ,A ,Q,65.84,66.2,64.12,64.56,64.56,65.19,6887,2002768,130475350,
532801,CAMBRIDGE   ,B ,Q,76,83.4,76,81.97,81.99,76.76,1076,30532,2466689,
532804,TECHNOCRAFT ,B ,Q,2491.85,2496.45,2356.15,2386.05,2386.05,2475.95,618,3401,8180527,
532805,REDINGTON   ,A ,Q,181.35,182.2,177.15,177.75,177.75,179.9,2301,139904,25131088,
532806,AI CHAMPDNY ,XT,Q,54,56.85,51.8,54.79,54.79,54.15,99,7899,435238,
532807,CINELINE    ,T ,Q,140,142.9,140,142.9,142.9,140.1,36,4483,637060,
532808,PGIL        ,T ,Q,640,645,635.35,641.55,641.55,637.05,100,2335,1496614,
532809,FSL         ,A ,Q,192.1,217.05,192.1,209.9,209.9,189.95,21809,2136445,450956845,
532810,POWER FINAN ,A ,Q,398.65,402.55,393.4,401.8,401.8,395.5,7025,512241,204201791,
532811,AHLUWALIA CO,A ,Q,854.95,854.95,824.4,827.2,825.5,841.6,213,1275,1061651,
532812,TRANSWARRANT,T ,Q,12.15,12.49,11.91,12.12,12.44,12.15,24,7444,90967,
532814,INDIAN BANK ,A ,Q,429.2,435.55,425.3,433.15,433.15,427.2,3207,128046,55345442,
532815,SMS PHARMACE,B ,Q,130.8,132.3,128.1,130.3,130.35,130.7,725,25512,3310915,
532817,ORIENTAL    ,B ,Q,10.28,10.33,10.09,10.2,10.19,10.08,152,10596,108088,
532820,ELAND       ,XT,Q,9.03,9.24,8.75,8.83,8.76,9.03,61,18572,164856,
532822,IDEA        ,A ,Q,16.11,16.18,15.8,15.87,15.87,16.06,27461,26823595,427854615,
532825,JAGJANANI   ,XT,Q,12.77,12.78,12.14,12.74,12.74,12.77,58,20241,250815,
532826,RAJ TELE    ,B ,Q,66.39,68.38,66.03,66.91,67.75,65.42,78,3721,248561,
532827,PAGE INDUSTR,A ,Q,36820.7,37386.95,36670,36881.1,36799.95,36817.3,438,650,23956462,
532828,AMD INDUS   ,T ,Q,72.98,73.5,70.5,71.8,71.13,73.51,125,11083,796670,
532829,LEHAR       ,X ,Q,145.05,148.9,143,143.45,143.45,145.05,123,11445,1677081,
532830,ASTRAL      ,A ,Q,1813.3,1822.85,1805.25,1812.1,1813.2,1813.15,3698,25478,46188350,
532832,INDBUL REAL ,A ,Q,100.55,102.2,99.32,100.03,100.03,100.1,6426,1100873,110903133,
532834,CAMLINFINE  ,A ,Q,133.5,134.7,133,133.4,133.5,133.15,592,36926,4939146,
532835,ICRA        ,A ,Q,5556.5,5580,5556.5,5563.1,5563.1,5556.15,10,21,116955,
532839,DISH TV     ,A ,Q,24.18,24.18,22.58,22.89,22.89,23.81,8560,6384648,147635152,
532841,SAHYA INDU  ,B ,Q,416.2,417.05,405.95,411.05,409.6,413.65,213,1259,518845,
